moment,duration,age,race,gender,reflection,id,concepts,Confidence
One happy moment in the past 24 hours was when I finished watching the drama I want.,A few minutes,18-24 years old,Chinese,Female,24 h,6256,Entertainment,0.738
saw a happy couple,A few minutes,45-54 years old,Chinese,Male,24 h,6257,Family,0.724
One happy moment in the past 24 hrs was when the entire family is gathered together to play mahjong with me coz they are concerned about my health.,All day,65+ years old,Chinese,Female,24 h,6258,Family|Food,0.755|0.548
When I was watching TV with my wife watching running man we both laugh and I am very happy spending time with her,A few minutes,25-34 years old,Chinese,Male,24 h,6259,Family|Entertainment,0.634|0.61
Feel happy all the time,At least one hour,55-64 years old,Chinese,Male,24 h,6260,Family,0.534
First Moment| Completing one of my project tasks quicker than I expected Second moment| Eating out with family,A few minutes,18-24 years old,Chinese,Male,24 h,6261,Family|Food,0.688|0.572
I thought about how I went out with a guy I met on dating app yesterday.,A few minutes,18-24 years old,Chinese,Female,24 h,6262,Family,0.52
I was happy when I heard the good news,At least one hour,65+ years old,Chinese,Female,24 h,6263,,
I had a hot pot meal with my wife and son and they really enjoyed the meal together with me.,At least one hour,65+ years old,Chinese,Male,24 h,6264,Food,0.876
I managed to purchase something online and it arrived the next day.,I'm still feeling it,65+ years old,Indian,Female,24 h,6265,Career,0.531
Able to complete my tasks in the office.,At least one hour,55-64 years old,Chinese,Female,24 h,6266,,
Upon returning home,At least one hour,45-54 years old,Chinese,Male,24 h,6267,,
The happy moment was realising that my phelgm had reduced considerably although it was still present.,A few minutes,45-54 years old,Chinese,Female,24 h,6268,,
Happiness was when getting what I desire after longing for few years,I'm still feeling it,45-54 years old,Chinese,Male,24 h,6269,,
Received my mother's day gift from my children.,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6270,Family,0.827
one such moment was me trying to register to Trace Together apps. Keep prompting that my IC did not exist. Was finally resolved. make my day,I'm still feeling it,45-54 years old,Chinese,Female,24 h,6271,Career,0.546
this is just a test case,I'm still feeling it,35-44 years old,Chinese,Male,24 h,6272,Education,0.703
I am going to be a grandmother soon,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6273,Family,0.755
able to assist to circulate flyers to inform residents in my estate on some new oncoming community events.,A few minutes,65+ years old,Chinese,Male,24 h,6274,,
"i make myself happy, my clothes fit me well, my make up is on point i am happy",I'm still feeling it,35-44 years old,Indian,Female,24 h,6275,,
gaming session,At least one hour,25-34 years old,Chinese,Female,24 h,6276,Family,0.695
I managed to complete a very difficult task in my school project.,A few minutes,18-24 years old,Chinese,Female,24 h,6277,Education|Family,0.573|0.545
I had my breakfast with someone I like,At least one hour,35-44 years old,Chinese,Female,24 h,6278,Food|Family,0.678|0.618
"In the past 24 hours, I worked with my new team at the workplace and they are really nice and supportive.",All day,25-34 years old,Chinese,Female,24 h,6279,,
travelling to hongkong and taiwan for holiday to relax and enjoy,At least one hour,65+ years old,Chinese,Female,24 h,6280,,
"Happy moment was my son which is ASD is improving in his motor skill , and tends to be more cheerful and happy as before",All day,35-44 years old,Chinese,Male,24 h,6281,Family,0.611
My cooking skills was able to improve,At least one hour,25-34 years old,Chinese,Male,24 h,6282,Family|Food,0.673|0.589
1. Having a funny conversation with my boyfriend,A few minutes,35-44 years old,Chinese,Female,24 h,6283,,
My happest moment was the get together with my grand children which I missed interaactin with them since the pandemic started.  We enjoyed eating and talking together.,Half a day,65+ years old,Chinese,Male,24 h,6284,Food,0.627
One happy moment in the past 24 hours was when my mom finally got an internet connection and i can communicate with her online,I'm still feeling it,35-44 years old,Chinese,Male,24 h,6285,Family|Entertainment,0.716|0.507
good news at work,A few minutes,25-34 years old,Chinese,Male,24 h,6286,Family,0.543
One happy moment in the last 24 hours was when I received an alert of $500 signapore dollars from a friend willingly,At least one hour,25-34 years old,Malay,Male,24 h,6287,Career,0.708
I hear my mom's laughter.,A few minutes,18-24 years old,Chinese,Female,24 h,6288,Family,0.897
Came back yesterday and found the laundry all done and hung up. Was really tired after a hard day's work and was not really forward to doing household chores. Was pleasantly surprised that at least the laundry was done. Made me gappy,A few minutes,55-64 years old,Chinese,Female,24 h,6289,Family,0.628
my son came to spend time with me and helped me manage my retirement funds.,All day,55-64 years old,Chinese,Female,24 h,6290,Family,0.811
I managed to finish one level in an online video game.,At least one hour,25-34 years old,Malay,Male,24 h,6291,Family|Entertainment,0.567|0.507
To celebrate Mother�s Day with my wife and daughter,Half a day,35-44 years old,Chinese,Male,24 h,6292,Family,0.782
Able to get projects,At least one hour,35-44 years old,Chinese,Male,24 h,6293,Career,0.508
Happy that I am able save,A few minutes,65+ years old,Chinese,Male,24 h,6294,Family,0.552
One happy moment in the past 24 hours was when we going to the restaurant,At least one hour,25-34 years old,Chinese,Male,24 h,6295,Food,0.684
When my daughter gained admissions to a university,A few minutes,35-44 years old,Malay,Male,24 h,6296,Education|Family,0.717|0.675
when i celebrated my 21st irthday,At least one hour,25-34 years old,Chinese,Male,24 h,6297,Family,0.616
My child recover from fever,A few minutes,35-44 years old,Chinese,Female,24 h,6298,Family,0.753
The day I got my drivers license.,Half a day,35-44 years old,Chinese,Female,24 h,6299,Family,0.62
I finished a book I was reading,A few minutes,55-64 years old,Chinese,Male,24 h,6300,,
When my grandchildren�s came over and the house becomes very busy,I'm still feeling it,65+ years old,Chinese,Male,24 h,6301,Family,0.634
I met my friends who I have not seen for about 4 months.,Half a day,18-24 years old,Chinese,Female,24 h,6302,Family|Conversation,0.635|0.55
I saw my ex already move on.,A few minutes,25-34 years old,Chinese,Male,24 h,6303,,
I had a girlfriend in my first of my life,A few minutes,55-64 years old,Chinese,Female,24 h,6304,Family,0.583
I received my payment,All day,35-44 years old,Malay,Female,24 h,6305,Career,0.781
"First moment ""One of the most happy moment was graduating from my polytechnic school which my parents were proud of me and it was my greatest achievement in my life because my other schools results were bad and i though it was end for my future career.""",All day,18-24 years old,Chinese,Male,24 h,6306,Education|Family,0.602|0.557
I was with my classmates/friends.,At least one hour,18-24 years old,Chinese,Male,24 h,6307,,
Have a confirmed news grandkids ( born in Australia) will come to Singapore for the next five years.  Happy they will keep me company in my old age.,I'm still feeling it,65+ years old,Chinese,Male,24 h,6308,Family,0.503
son bring snacks early yesterday unexpectedly.,A few minutes,55-64 years old,Chinese,Male,24 h,6309,Family|Food,0.765|0.557
birth of child,I'm still feeling it,25-34 years old,Indian,Male,24 h,6310,Family,0.798
"First moment| It was my Dads demise eight days, we host family and friends where everyone was giving a chance to talk about the late, it turns out to be so many good memories.",All day,35-44 years old,Malay,Male,24 h,6311,Family,0.814
I have my breakfast,At least one hour,35-44 years old,Chinese,Male,24 h,6312,Food|Family,0.702|0.524
"spending most of the available time within 24hrs with my wife, tend to her, help her, send her to work, text each other and seeing her again after work",All day,25-34 years old,Chinese,Male,24 h,6313,Family,0.66
Im debt free,A few minutes,55-64 years old,Chinese,Female,24 h,6314,Career,0.504
Some investments I made started to show some returns,At least one hour,55-64 years old,Other|,Male,24 h,6315,Career,0.708
My son and daughter in law got promoted in their respective jobs..,I'm still feeling it,65+ years old,Indian,Male,24 h,6316,Family,0.803
Singapore controlled covid19 situation,All day,65+ years old,Chinese,Male,24 h,6317,,
One happy moment in the past 24 hours was when my family and I sat down together to eat dinner together. i think that is the most important part of maintaining family harmony.,All day,18-24 years old,Chinese,Female,24 h,6318,Food|Family,0.82|0.735
Very Happy because God blessed my family with Good health,At least one hour,35-44 years old,Chinese,Male,24 h,6319,Family,0.738
We will welcome our twin granddaughters to Singapore when it is safe to travel.  Born overseas they have been planning to relocate to Singapore since end of last year.,I'm still feeling it,65+ years old,Chinese,Female,24 h,6320,,
I hung out for dinner with my buddy,Half a day,35-44 years old,Chinese,Male,24 h,6321,Food,0.638
Completed my jog in the morning.,At least one hour,55-64 years old,Chinese,Male,24 h,6322,Exercise,0.505
One happy moment in the past 24 hours was when I was eating lunch with my mother.,A few minutes,18-24 years old,Chinese,Female,24 h,6323,Food|Family,0.709|0.691
"Spent time with my kids ",At least one hour,35-44 years old,Chinese,Male,24 h,6324,Family,0.854
when i tasted the new burger at mcdonalds,At least one hour,35-44 years old,Malay,Male,24 h,6325,Food,0.674
The time we travel on a cruise ship,At least one hour,55-64 years old,Chinese,Male,24 h,6326,,
My parents aniversary .,All day,25-34 years old,Chinese,Male,24 h,6327,Family,0.909
I brought up an idea in my work place and it worked perfectly.,All day,35-44 years old,Chinese,Male,24 h,6328,,
One happy moment in the past 24 hours was when I eat my fav icecream,At least one hour,25-34 years old,Chinese,Male,24 h,6329,Food|Entertainment|Romance,0.749|0.558|0.512
i have a nice bowl of curry this noon to treat myself.,At least one hour,35-44 years old,Chinese,Male,24 h,6330,Food,0.676
I was Sleeping,A few minutes,35-44 years old,Chinese,Female,24 h,6331,,
Happy that we r to work from home for a month,A few minutes,35-44 years old,Chinese,Male,24 h,6332,Family,0.593
"One happy moment in the past 24 hours was when I saw an elderly woman crossing the road, i helped her across the road and she thanked me for it.",A few minutes,35-44 years old,Chinese,Male,24 h,6333,Romance,0.503
One happy moment in the past 24 hours was when I have just completed a clinical study and my diet restrictions have been lifted.,A few minutes,35-44 years old,Chinese,Male,24 h,6334,Food,0.549
Having myself vaccinated,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6335,,
When my daughter got into college,A few minutes,35-44 years old,Malay,Female,24 h,6336,Family|Education,0.822|0.621
Actually recently am very happy because I have a very joyful moment with my family and friends.,I'm still feeling it,35-44 years old,Chinese,Male,24 h,6337,Family,0.589
Yesterday I managed to purchase a bunch of bananas which is of good quality. It has not been made available for the past few weeks.,A few minutes,55-64 years old,Chinese,Female,24 h,6338,Food|Career,0.529|0.525
my friend called me and we had a heart-to-heart talk,At least one hour,25-34 years old,Chinese,Female,24 h,6339,Family,0.659
"Happy a moment of fun with my dog, whom tend to understand me better",A few minutes,35-44 years old,Chinese,Male,24 h,6340,,
"I talked to my friend. At first, because of COVID and so I think I rarely saw any friend since the pandemic started. I believe I only met less than 10 friends from last year March till now. I am glad I talked to her via whatsapp because it made me feel that I have friends and someone to rely on, in times of sadness or need.",I'm still feeling it,18-24 years old,Chinese,Female,24 h,6341,Conversation|Family,0.57|0.546
None I can think of,Other|,35-44 years old,Chinese,Male,24 h,6342,,
My friend gifted me takeaway package of Chinese dessert from the hawker centre nearby to encourage me after a hard day of work,At least one hour,55-64 years old,Chinese,Female,24 h,6343,Family|Food,0.607|0.541
Happy moment was 2 days ago on Mother's Day,All day,35-44 years old,Chinese,Female,24 h,6344,Family,0.846
I was very happy yesterday evening when I checked my savings account and I saw how much I have saved so far.  Which I believe Will go a long way should anything happens.,I'm still feeling it,25-34 years old,Chinese,Male,24 h,6345,Career,0.608
"My niece became a 1st-time mother.  The whole family was sparkled with great love and happiness - continued till today.  Happy is to see the whole family has so much love for each other, despite our shortcomings!",I'm still feeling it,65+ years old,Chinese,Female,24 h,6346,Family,0.854
My wife bought chocolate ice cream as surprise for our kids,At least one hour,35-44 years old,Malay,Male,24 h,6347,Family|Food,0.668|0.641
I have a nice girl friend,All day,25-34 years old,Chinese,Male,24 h,6348,,
I received a call that my cousin gave birth to a bouncing baby boy.,I'm still feeling it,25-34 years old,Malay,Male,24 h,6349,Family,0.764
When I talk to God and pray for others.,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6350,Family,0.527
One happy moment in the past 24 hours was when my friend texted me to share their artwork,A few minutes,25-34 years old,Chinese,Female,24 h,6351,Entertainment,0.579
At workplace having team work n completed job with satisfaction,All day,55-64 years old,Chinese,Female,24 h,6352,,
I managed to get sufficient sleep,A few minutes,55-64 years old,Chinese,Male,24 h,6353,,
"One of the happy moment in the past 24 hours was when I managed to get an item I've wanted, I was filled with joy and happiness since it was very hard to obtain it",Half a day,18-24 years old,Chinese,Male,24 h,6354,Entertainment,0.546
Good work with the same time,Half a day,25-34 years old,Chinese,Female,24 h,6355,,
Only donthinga thatbi feel like doing,Half a day,35-44 years old,Chinese,Female,24 h,6356,,
I help someone,Half a day,35-44 years old,Chinese,Male,24 h,6357,Family,0.6
Very good time,A few minutes,35-44 years old,Malay,Male,24 h,6358,,
One happy moment is the past 24 hours was when I got to spend time with my friends online.,At least one hour,18-24 years old,Other|,Male,24 h,6359,Entertainment,0.602
When my child walk for the first time,All day,35-44 years old,Malay,Male,24 h,6360,Family,0.688
My husband make me laugh last night,A few minutes,35-44 years old,Chinese,Female,24 h,6361,Family,0.865
One happy moment in the past 24 hours was nothing,A few minutes,25-34 years old,Chinese,Female,24 h,6362,Entertainment|Romance,0.679|0.51
It was when I had my favorite meal.It had been a minute since i last indulged in that meal.,A few minutes,35-44 years old,Chinese,Female,24 h,6363,Food,0.798
"For the past 24 hours, the first happy moment was when work ended and I could go home. Second moment when I get to have my �me� time",At least one hour,18-24 years old,Chinese,Female,24 h,6364,Entertainment,0.818
Make a good investment decision and was rewarded,At least one hour,25-34 years old,Chinese,Male,24 h,6365,Career,0.677
"The boy I was tutoring scored full marks on his spelling test. ",A few minutes,18-24 years old,Chinese,Female,24 h,6366,Education|Family,0.821|0.697
When I saw some good news about Singapore,I'm still feeling it,25-34 years old,Malay,Male,24 h,6367,,
when I achieved sleeping for 8 long hours.,Half a day,35-44 years old,Malay,Male,24 h,6368,,
Cleaning my room. Getting my life organised.,I'm still feeling it,18-24 years old,Chinese,Female,24 h,6369,,
My son took my hands and placed them on his cheeks.,A few minutes,25-34 years old,Other|,Female,24 h,6370,Family,0.723
To see my children laughing and enjoying their moments in life.,A few minutes,35-44 years old,Chinese,Female,24 h,6371,Family,0.726
One happy moment in the past 24 hrs is my account are 100% accurate after an audit.,At least one hour,65+ years old,Chinese,Female,24 h,6372,Career,0.801
I am most happy when I am accepted for my current job.,I'm still feeling it,35-44 years old,Chinese,Male,24 h,6373,,
When I caught the bus on time,A few minutes,18-24 years old,Chinese,Male,24 h,6374,Family,0.633
having dinner with my family,A few minutes,25-34 years old,Chinese,Male,24 h,6375,Food|Family,0.773|0.626
I got my salary,All day,35-44 years old,Malay,Male,24 h,6376,Family,0.598
One happy moment in the past 24 hours was when having dinner with my family,A few minutes,25-34 years old,Chinese,Male,24 h,6377,Food,0.668
One happy moment in the past 24 hours was when I come home and see my child,A few minutes,25-34 years old,Chinese,Male,24 h,6378,Family|Entertainment,0.687|0.583
When I got promotion from my employer,All day,35-44 years old,Indian,Male,24 h,6379,,
When I receive my monthly salary,Half a day,35-44 years old,Chinese,Male,24 h,6380,,
one of my favourite kpop artists started a Vlive,A few minutes,25-34 years old,Chinese,Female,24 h,6381,,
One happy moment in the past 24 hours was when I was watching a Korean drama that was very funny and made me laugh,At least one hour,25-34 years old,Chinese,Female,24 h,6382,Entertainment,0.667
My friend cooking business started moving.,Half a day,65+ years old,Chinese,Female,24 h,6383,Food,0.589
I met my old friends who kept away because of covid,At least one hour,25-34 years old,Malay,Female,24 h,6384,Family,0.648
Watching tv,At least one hour,25-34 years old,Chinese,Female,24 h,6385,Entertainment,0.595
"One happy moment in the past 24 hours was when I had a fantastic meal with my family,",At least one hour,25-34 years old,Chinese,Male,24 h,6386,Food|Family,0.791|0.549
I was watching variety shows? Watching the people on screen (whom I admire) enjoying themselves brings a smile on my face!,At least one hour,18-24 years old,Chinese,Female,24 h,6387,Entertainment,0.537
I did a task that my senior assigned correctly.,At least one hour,18-24 years old,Chinese,Female,24 h,6388,Family|Education,0.733|0.627
I was sleeping comfortable on my bed.,Half a day,35-44 years old,Chinese,Male,24 h,6389,,
I was able to sleep in and laze in my bed.,A few minutes,25-34 years old,Chinese,Male,24 h,6390,,
i had one of the best curry rice that i have eaten for a while.,At least one hour,35-44 years old,Chinese,Male,24 h,6391,Food,0.875
One happy moment in the past 24 hours was when I come home from work,A few minutes,25-34 years old,Chinese,Male,24 h,6392,Entertainment,0.665
Finding enough clothes for job,I'm still feeling it,35-44 years old,Chinese,Female,24 h,6393,,
Someone had updated a new chapter of one of the online fiction stories that I have been following.,A few minutes,25-34 years old,Chinese,Female,24 h,6394,,
I felt happy in the past 24 hours when I know that Public Holiday is coming.,At least one hour,25-34 years old,Chinese,Female,24 h,6395,,
I was complimented at the company,A few minutes,25-34 years old,Chinese,Male,24 h,6396,,
All people love the way i work and respect me,Half a day,35-44 years old,Indian,Male,24 h,6397,Family,0.709
When i manage to complete  a report efficiently,A few minutes,35-44 years old,Chinese,Female,24 h,6398,,
I cleaned the house for my mom and she got to rest after a long day at work.,At least one hour,18-24 years old,Chinese,Female,24 h,6399,Family,0.87
I was playing mahjong with my friends.,I'm still feeling it,18-24 years old,Other|,Female,24 h,6400,Family,0.64
when i got my first scholarship to study in uk,Half a day,25-34 years old,Chinese,Male,24 h,6401,Education,0.556
Chatting with colleagues,At least one hour,35-44 years old,Indian,Female,24 h,6402,Family,0.513
I am able to leave work on time,A few minutes,25-34 years old,Chinese,Male,24 h,6403,,
When I completed my degree,I'm still feeling it,35-44 years old,Chinese,Male,24 h,6404,Education,0.74
one happy moment in the past 24 hours was when i had a call with a friend and chatted for a while.,A few minutes,25-34 years old,Chinese,Prefer not to say,24 h,6405,Entertainment,0.614
God answered my prayers and provided me with a flat in a good location with all the amenities available. Praise the Lord!,I'm still feeling it,65+ years old,Chinese,Female,24 h,6406,,
i got into bed last night and finally was able to retire for the day,A few minutes,25-34 years old,Chinese,Female,24 h,6407,Family,0.801
when my cat give birth sucessfully,All day,25-34 years old,Malay,Female,24 h,6408,Family,0.665
I saw my girlfriend's message,I'm still feeling it,25-34 years old,Chinese,Male,24 h,6409,Family,0.589
"an old friend from college called me last night, it was exciting talking to her.",All day,35-44 years old,Chinese,Female,24 h,6410,Family,0.727
one happy moment in the past 24 hours was when i meet my school friends after class and we started talking about the past and our secondary school life. brings back many beautiful memories for me.,A few minutes,18-24 years old,Chinese,Female,24 h,6411,Entertainment,0.505
I was able to finish a transaction successfully.,All day,35-44 years old,Malay,Male,24 h,6412,Career,0.862
When hear bonus payout is within 2 months,Half a day,35-44 years old,Chinese,Male,24 h,6413,Career,0.723
i've dinner with my big family,All day,25-34 years old,Other|,Male,24 h,6414,Family|Food,0.82|0.765
"my email gets replied to, although a bit late.",A few minutes,18-24 years old,Chinese,Female,24 h,6415,Career,0.589
My happiest moment is when my lovely football club ended the thirty years wait of the premier league.,All day,25-34 years old,Malay,Male,24 h,6416,,
I watch YouTube videos that made me laugh.,A few minutes,18-24 years old,Malay,Female,24 h,6417,Family,0.536
Talking with a friend,Half a day,35-44 years old,Chinese,Male,24 h,6418,Family,0.62
I hung out with my friends and talked all night,All day,18-24 years old,Chinese,Female,24 h,6419,Family,0.538
My little said I love you,A few minutes,35-44 years old,Chinese,Male,24 h,6420,Family,0.762
"I forgot to wear a mask when I went out, reached the MRT station, passed the fare-collection gate and was stopped by a security staff  I tried to go out to get a mask from home but was told it was not necessary. The station provides a free mask for people in my situation.",At least one hour,65+ years old,Chinese,Male,24 h,6421,,
I did not have to wait very long for my bone scan,A few minutes,65+ years old,Chinese,Female,24 h,6422,,
My last happy moment was when I woke up this morning before my alarm rang. I hugged my wife and went back to sleep.,A few minutes,25-34 years old,Chinese,Male,24 h,6423,Family,0.546
My son told me he loves me and cares for me.,I'm still feeling it,35-44 years old,Chinese,Female,24 h,6424,Family,0.835
I gained my sight yesterday after I did my eye operation at Changi General Hospital.,I'm still feeling it,25-34 years old,Other|,Female,24 h,6425,Family,0.5
Joking with colleagues,A few minutes,35-44 years old,Chinese,Male,24 h,6426,Family,0.511
i tried cooking a french meal and was happy it turn out ok,A few minutes,35-44 years old,Chinese,Female,24 h,6427,Food,0.878
When ever i spend time with my Dad,A few minutes,35-44 years old,Chinese,Male,24 h,6428,Family,0.918
one happy moment in the past 24 hours was when i played with my dog,A few minutes,35-44 years old,Chinese,Male,24 h,6429,Entertainment|Conversation,0.779|0.607
The day i travelled,I'm still feeling it,18-24 years old,Chinese,Male,24 h,6430,Family,0.568
Listening to a vtuber learn english Listening to a vtuber's late night calm stream,At least one hour,18-24 years old,Chinese,Non-binary / third gender,24 h,6431,Family,0.546
Having my first child,All day,35-44 years old,Indian,Female,24 h,6432,Family,0.569
Nothing. I was too busy working and investing in stocks,A few minutes,35-44 years old,Chinese,Male,24 h,6433,,
"One moment was when i was playing games with my friends last night. ",At least one hour,18-24 years old,Indian,Female,24 h,6434,Entertainment|Conversation|Family,0.647|0.604|0.578
my child just learn how to read time.,I'm still feeling it,35-44 years old,Chinese,Female,24 h,6435,Family,0.861
One happy moment in the past 24 hours was when I managed to come up with a short story about my favorite cartoon. Another payment was when I completed a tedious research task in my internship work.,A few minutes,18-24 years old,Chinese,Male,24 h,6436,Entertainment,0.531
Having dinner and conversations with family members.,At least one hour,35-44 years old,Chinese,Female,24 h,6437,Family|Food,0.802|0.708
My deliveries arrive on time,At least one hour,65+ years old,Chinese,Female,24 h,6438,,
with the family,At least one hour,65+ years old,Chinese,Male,24 h,6439,Family,0.881
"one happy moment in the past 24 hours when when i was watching a movie with my family   ",I'm still feeling it,18-24 years old,Malay,Female,24 h,6440,Entertainment|Family,0.666|0.575
Nothing in particular,A few minutes,18-24 years old,Malay,Female,24 h,6441,,
The family members enjoyed the meal I brought for dinner,At least one hour,65+ years old,Indian,Male,24 h,6442,Food|Family,0.859|0.744
One happy moment in the past 24 hours was when I played a few good rounds in a game with my friends.,Half a day,18-24 years old,Malay,Female,24 h,6443,Entertainment|Conversation,0.867|0.847
Resolving an issue with my partner,At least one hour,18-24 years old,Chinese,Female,24 h,6444,Family,0.551
One happy moment in the past 24 hours is when I was able to meet my friends from choir in yesterday's practice.,At least one hour,18-24 years old,Chinese,Female,24 h,6445,Family,0.55
I managed to get enough sleep which makes me energetic.,I'm still feeling it,18-24 years old,Chinese,Female,24 h,6446,,
going home,At least one hour,18-24 years old,Chinese,Female,24 h,6447,Exercise,0.605
One happy moment in the past 24 hours was breaking fast on the final day of the fasting month,A few minutes,18-24 years old,Malay,Non-binary / third gender,24 h,6448,Food,0.621
My company is considered and care about staff welfare.,At least one hour,65+ years old,Chinese,Female,24 h,6449,Family,0.661
One happy moment in the past 24 hours was when the item I needed finally spawned in the game after an hour.,At least one hour,25-34 years old,Chinese,Female,24 h,6450,Entertainment,0.689
"My girl got her EMB award for her secondary school ",I'm still feeling it,55-64 years old,Chinese,Female,24 h,6451,Family|Education,0.814|0.519
"One happy moment in the past 24 hours was when I have time for myself, and time to appreciate myself and nature.",All day,25-34 years old,Malay,Female,24 h,6452,Entertainment,0.614
Good feeling,Half a day,45-54 years old,Chinese,Female,24 h,6453,Family,0.527
everything went smoothly according to plan. no hiccups,A few minutes,55-64 years old,Chinese,Male,24 h,6454,,
When I managed to completed all my work!,Half a day,25-34 years old,Chinese,Female,24 h,6455,,
I received other people praise that I do well in my job,Half a day,35-44 years old,Chinese,Female,24 h,6456,Family,0.599
The day my daughter is coming back.,I'm still feeling it,65+ years old,Chinese,Male,24 h,6457,Family,0.893
First moment| One happy moment in the past 24 hours was when I video called my parents who are in Malaysia.   Second moment| One happy moment in the past 24 hours was when I had lunch with my roommate.,At least one hour,18-24 years old,Chinese,Male,24 h,6458,Food|Family,0.805|0.776
go out with my bf,Half a day,25-34 years old,Chinese,Female,24 h,6459,Exercise,0.578
one happy moment in the past 24 hours was a great meal with family and spending time together,At least one hour,45-54 years old,Chinese,Male,24 h,6460,Food|Family,0.689|0.646
"My boss allowed us off duty for home due to the following day is a Public Holiday.  ",All day,45-54 years old,Chinese,Female,24 h,6461,Family,0.524
"One happy moment in the past 24 hours was I spent two hours with my lovers, and my daughter gave me the monthly monetary support.",I'm still feeling it,55-64 years old,Chinese,Male,24 h,6462,Family|Romance|Entertainment,0.836|0.83|0.824
I bought and fix new ceiling fan,I'm still feeling it,55-64 years old,Malay,Male,24 h,6463,,
When the doctor informed me that my sugar level was at acceptable level.,At least one hour,65+ years old,Indian,Male,24 h,6464,Family,0.546
"I had a dinner in a restaurant where friend highly recommended, and very enjoyed with the food.",At least one hour,35-44 years old,Chinese,Female,24 h,6465,Food,0.833
"getting out of bed each morning, getting ready for my exercise",At least one hour,65+ years old,Chinese,Female,24 h,6466,Exercise,0.62
one happy moment in the past 24 hours was when my daughter came to my bed to share her edited photographs with me,At least one hour,45-54 years old,Chinese,Female,24 h,6467,Family|Romance|Entertainment,0.76|0.554|0.525
Had a good meal at a restaurant,At least one hour,65+ years old,Chinese,Female,24 h,6468,Food,0.827
I was happy about my wife sharing ideas,At least one hour,25-34 years old,Malay,Male,24 h,6469,Family,0.682
Seeing my family are safe from Covid and healthy from other diseases,I'm still feeling it,35-44 years old,Chinese,Male,24 h,6470,Family|Food,0.713|0.505
i reconnected with an old friend hours ago.,I'm still feeling it,35-44 years old,Chinese,Female,24 h,6471,Family,0.648
"Cleaning up the house before Hari Raya, feeling fulfilled",At least one hour,35-44 years old,Malay,Female,24 h,6472,Family,0.619
My sister says she dreamt of my late husband,A few minutes,55-64 years old,Chinese,Female,24 h,6473,Family,0.826
Having  a conversation with my  working collegue.,A few minutes,45-54 years old,Indian,Female,24 h,6474,,
One happy moment in the past 24 hours was when I was able to leave office at 3.15pm and all my work has been completed.,A few minutes,35-44 years old,Chinese,Female,24 h,6475,,
"Receiving a sms that reads |  Congratulation , you are the winner to the  free dinner to....",Half a day,65+ years old,Chinese,Male,24 h,6476,Career,0.567
I woke up after sleeping for 12 whole hours.,A few minutes,35-44 years old,Chinese,Female,24 h,6477,,
swimming makes me happy,At least one hour,35-44 years old,Chinese,Female,24 h,6478,,
When I woke up this morning and felt that I have a good sleep.,A few minutes,65+ years old,Chinese,Male,24 h,6479,,
The queue to my favourite food stall was short despite the peak-hours crowd,A few minutes,65+ years old,Chinese,Male,24 h,6480,Food,0.709
When i actively engage in voulnteering activities in my neighbourhood.that makes me happy that i help others who needs,All day,65+ years old,Indian,Male,24 h,6481,,
"One happy moment in the past 24 hours was when I heard and confirmed that our Govt has decisively shut down the Airport Terminals for 2 weeks (even though it is not 3 weeks that I hope for), to prevent further spreading of Covid-19 Indian Variant into Singapore.",At least one hour,65+ years old,Chinese,Male,24 h,6482,Career,0.632
Adequate family time,All day,65+ years old,Chinese,Male,24 h,6483,Family,0.901
I am happy after taking the vaccines as I was well and very confident that it will keep me safe from Covid 19 viruses.,Half a day,65+ years old,Chinese,Female,24 h,6484,,
One happy moment in the past 24 hours was when we were composing a song with my favourite grandchild.,I'm still feeling it,65+ years old,Malay,Female,24 h,6485,Family|Entertainment,0.581|0.527
I get food on the table for a meal.,A few minutes,65+ years old,Chinese,Male,24 h,6486,Food,0.769
"One happy moment in the past 24 hours was when I am taking leave, no need to work",Half a day,65+ years old,Chinese,Female,24 h,6487,Entertainment,0.626
i see my son hahahaha,At least one hour,65+ years old,Chinese,Male,24 h,6488,Family,0.808
Watching a comedy on YouTube,A few minutes,65+ years old,Chinese,Female,24 h,6489,,
My grand-daughter prepared breakfast and made dinner for me.,I'm still feeling it,65+ years old,Chinese,Female,24 h,6490,Food|Family,0.787|0.747
grandchildren interaction and responding to me.,A few minutes,65+ years old,Chinese,Male,24 h,6491,Family,0.801
Have a nice sleep after many hours of working,All day,65+ years old,Chinese,Male,24 h,6492,,
My brother's wife had her first born,I'm still feeling it,65+ years old,Chinese,Female,24 h,6493,Family,0.831
My grandson interacted with me as he has been ignoring me for a long time.,A few minutes,65+ years old,Chinese,Female,24 h,6494,Family,0.778
One happy moment in the past 24 hours was when we shared a meal as one happy family.,I'm still feeling it,65+ years old,Malay,Female,24 h,6495,Family|Food|Romance,0.678|0.625|0.509
When I had a refreshing drink,A few minutes,65+ years old,Chinese,Female,24 h,6496,Family,0.592
I ate a good meal,At least one hour,65+ years old,Chinese,Male,24 h,6497,Food,0.821
I managed to share a photo with a humorous message.,At least one hour,65+ years old,Chinese,Male,24 h,6498,Family,0.548
