moment,duration,age,race,gender,reflection
grandchildren interaction and responding to me.,A few minutes,65+ years old,Chinese,Male,24 h
Have a nice sleep after many hours of working ,All day,65+ years old,Chinese,Male,24 h
My brother's wife had her first born,I'm still feeling it,65+ years old,Chinese,Female,24 h
My grandson interacted with me as he has been ignoring me for a long time.,A few minutes,65+ years old,Chinese,Female,24 h
One happy moment in the past 24 hours was when we shared a meal as one happy family.,I'm still feeling it,65+ years old,Malay,Female,24 h
When I had a refreshing drink,A few minutes,65+ years old,Chinese,Female,24 h
I ate a good meal,At least one hour,65+ years old,Chinese,Male,24 h
I managed to share a photo with a humorous message. ,At least one hour,65+ years old,Chinese,Male,24 h
Earn survey reward,All day,,,,24 h
i talkedto my daughter,At least one hour,,,,24 h
My kid visit me and have meal with them.,All day,65+ years old,Chinese,Female,24 h
When my spouse surprised me with an airtime,A few minutes,65+ years old,Chinese,Female,24 h
I completed my hike with my friends and had a opportunity to see the sunrise through the woods.,At least one hour,,,,24 h
"I am happy able to get my broken spectacle frame replaced and use back the existing lens. It's much cheaper compare to making a new one.

   ",I'm still feeling it,,,,24 h
"my neigbour's granddaughter (2 yr old) come by calling me ""auntie""",A few minutes,,,,24 h
Cracked a joke with my youngest son and shared laughter with him. We are seldom serious around each other and share many happy moments. ,A few minutes,,,,24 h
"My entertainment system was set up
",I'm still feeling it,,,,24 h
Seeing pictures and videos of my grandchild,I'm still feeling it,,,,24 h
When i meet my best friend every week,I'm still feeling it,,,,24 h
It was when I got an opportunity to get a phone,A few minutes,,,,24 h
I played computer games with my boyfriend ,At least one hour,,,,24 h
When my team won a game,Half a day,,,,24 h
My food delivery arrived.,A few minutes,,,,24 h
When i joked with my wife.,A few minutes,,,,24 h
"1) I managed to have a deep uninterrupted sleep. I haven’t had that in a while.

2) When I finally managed to eat pizza.",I'm still feeling it,,,,24 h
i having my delicious lunch,At least one hour,65+ years old,Chinese,Female,24 h
Every day when I reach home and saw my 2 dogs cuddling around me and when I see my mum healthy ,At least one hour,,,,24 h
I finally know how to feel loved,I'm still feeling it,,,,24 h
Spending time in botanical gardens.,At least one hour,,,,24 h
"I recently celebrated my birthday with my family members, and a few best friends. We had a great time singing at a karaoke club.",All day,,,,24 h
"I was pleasantly given a surprise by my colleague, a box of delicious cupcakes yesterday. ",I'm still feeling it,,,,24 h
My dog that I bought! ,All day,35-44 years old,Chinese,Male,24 h
Read the my younger daughter ,At least one hour,,,,24 h
One happy moment in the 24 hours was when I get to fuck my girlfriend for 4 rounds.,I'm still feeling it,,,,24 h
I had breakfast with friends this morning.,At least one hour,,,,24 h
Manage to make my own homemade delicious ice cream,All day,,,,24 h
I drank water when I woke up ,A few minutes,,,,24 h
"When someone gave me a bowl of Chinese dessert she bought from the hawker centre nearby, I feel loved",At least one hour,,,,24 h
I pass my skills future course.,I'm still feeling it,,,,24 h
"I had a cup of coppichino one hour ago, the taste was very good and I wasvvery enjoyable...",At least one hour,,,,24 h
when the guy I like kissed me ,All day,,,,24 h
When I took my favourite meal,At least one hour,65+ years old,Chinese,Female,24 h
I woke up today,All day,,,,24 h
No comment on this ,All day,,,,24 h
my children celebrated Mothers Day for me,All day,,,,24 h
My colleague and i had a meaningful talk about our future,At least one hour,,,,24 h
none so far,A few minutes,,,,24 h
no stupid people coming to customer service center,A few minutes,,,,24 h
My husband bought me surprise snacks for mothers day.,At least one hour,,,,24 h
One happy moment in the past 24 hours was when I received a meal from my best friend. He was having his dinner and called me if I had my dinner. I told him I didn't yet have my dinner and he asked me what I want and offered to bring it to me. ,At least one hour,,,,24 h
I am really happy when my wife decided to cook my favorite beef stew today.,I'm still feeling it,,,,24 h
My daughter made and wrote for me a mothers' day card.,I'm still feeling it,,,,24 h
Help a customer of mine ,Half a day,,,,24 h
I am very happy recently because my club just qualified for the champions league final,I'm still feeling it,,,,24 h
I had a fantastic dinner with my family,Half a day,,,,24 h
I have watched a good movie on YouTube. I defeated a pokemon gym and become the new gym leader. ,At least one hour,,,,24 h
no happy moments,Other:,,,,24 h
having an enjoyable meal with family,All day,,,,24 h
negative swab,A few minutes,,,,24 h
"My happy moment in saving money on my broken spectacle frame. I used back my existing lens on the new frame instead of replacing with whole new spectacle costing more.
Saving on fine dinning on last mother's day due to covid-19 restriction on numbers dinner inside the restaurant. We managed  to do a take-away food from eating place near home which lesser cost.",At least one hour,,,,24 h
"When I found out in my drawer that I have an bracelet & an anklet, it has bells on it. I have an obsession with bells. ",At least one hour,,,,24 h
My children ordered food for me on Mother's day. ,All day,,,,24 h
Making new friends in class that I have attended.,I'm still feeling it,,,,24 h
Have dinner,At least one hour,,,,24 h
Treatd my sister to a birthday lunch ,Half a day,,,,24 h
My complaint was heard and changes reverse to normal,At least one hour,,,,24 h
Win money via investment,Half a day,,,,24 h
Times spent with my siblings,All day,,,,24 h
I treated a friend to lunch and cheered her up when she was feeling down,I'm still feeling it,,,,24 h
strike 4D with number that i bought yesterday,All day,,,,24 h
"When i received promotion / bonus letter from my company, in the letter was mention bonus come on April, then follow by Sept 2021!",All day,,,,24 h
did no thave any happy moment,Other:,,,,24 h
When I eat Japanese food,A few minutes,,,,24 h
My marriage,I'm still feeling it,,,,24 h
I have an MC to cover for my drowsiness.,A few minutes,,,,24 h
one happy moment is when my kids gave me a surprise dinner on Mother's Day,At least one hour,,,,24 h
I got the parcel from Shopee which i ordered . ,I'm still feeling it,55-64 years old,Chinese,Female,24 h
I arrange bought flowers into a beautiful floral arrangement for my mum.,Half a day,45-54 years old,Chinese,Female,24 h
it was when my daughter applying powder on my skin when she saw that i was having itchiness on my skin,A few minutes,25-34 years old,Chinese,Female,24 h
One happy moment in the past 24 hours was spending time with my friends where we play an online game together and there were many fun moments.,Half a day,25-34 years old,Chinese,Female,24 h
When my husband auto offers to do an errand for me,A few minutes,25-34 years old,Chinese,Female,24 h
One happy moment in the past 24 hours was when my mum and I were binge watching sitcoms.,At least one hour,35-44 years old,Indian,Female,24 h
One happy moment in the past 24 hours was when I had one of my favourite meals,At least one hour,35-44 years old,Chinese,Female,24 h
We had a meal together as a family. We sang and laughed together ,At least one hour,45-54 years old,Chinese,Female,24 h
I connected with someone with someone at work,Half a day,55-64 years old,Malay,Female,24 h
Thankful that we are coping better with Covid-19 Phase 2 stricter measures this year than 2020.,I'm still feeling it,45-54 years old,Chinese,Female,24 h
Complete my vaccination,A few minutes,45-54 years old,Chinese,Female,24 h
I listened to my favourite song ,I'm still feeling it,18-24 years old,Chinese,Female,24 h
i swe my cats,Half a day,25-34 years old,Malay,Female,24 h
One of my happy moments in the past 24 hours is when I saw my result and I had an A.,I'm still feeling it,25-34 years old,Chinese,Female,24 h
Happy moment for the past 24hrs was listening to my younger daughter reading. I’m so proud of her,At least one hour,35-44 years old,Malay,Female,24 h
my friend made me jelly.,Half a day,45-54 years old,Chinese,Female,24 h
I finished my run.,At least one hour,18-24 years old,Chinese,Female,24 h
"We are going to take flyer, all of us are so excited and enjoy that day.",All day,35-44 years old,Chinese,Female,24 h
my wife cooked my favorite beef stew today,I'm still feeling it,,,,24 h
When I was call up for job interview,A few minutes,,,,24 h
"Could not recall,",All day,,,,24 h
I am happy when I am able to keep company with my elderly mother. I thoroughly enjoy here stories about her childhood days and the times when my and siblings and me were young,All day,,,,24 h
When i  see smile on my parents face ,I'm still feeling it,,,,24 h
I brought a friend out for lunch to cheer her up. ,I'm still feeling it,,,,24 h
My happy moment was being able to talk to my cousin's sister. She is my bestie and mentor ,A few minutes,,,,24 h
there was less traffic jam today,A few minutes,35-44 years old,Chinese,Female,24 h
The survey I did actually make sense.,I'm still feeling it,18-24 years old,Chinese,Female,24 h
My birthday my child gave me a surprise  of buying a cake.,I'm still feeling it,35-44 years old,Chinese,Female,24 h
"My child was born
",I'm still feeling it,65+ years old,Indian,Male,24 h
I slept like a baby ,All day,18-24 years old,Indian,Female,24 h
I bought doge coin and it went up.,I'm still feeling it,25-34 years old,Chinese,Female,24 h
I ate strawberry waffle,At least one hour,25-34 years old,Chinese,Male,24 h
"I am able to solve a problem at home, even though it is not a serious one",A few minutes,45-54 years old,Chinese,Female,24 h
When i secured a job just now. ,I'm still feeling it,25-34 years old,Chinese,Female,24 h
Greg Jeff back off my.,Half a day,25-34 years old,Chinese,Male,24 h
Eating a proper meal,At least one hour,18-24 years old,Indian,Male,24 h
Stay hwalthy,All day,55-64 years old,Chinese,Male,24 h
i worked out yesterday after not working out for a few days,At least one hour,25-34 years old,Chinese,Female,24 h
I was outside petting the community cats in my area,A few minutes,25-34 years old,Chinese,Female,24 h
Rest day. No work.,At least one hour,25-34 years old,Chinese,Male,24 h
I left my workplace.,At least one hour,45-54 years old,Other:,Male,24 h
Cant think of any yet,A few minutes,25-34 years old,Chinese,Female,24 h
Shopping for raya,All day,55-64 years old,Indian,Female,24 h
Enough sleep,Half a day,35-44 years old,Chinese,Female,24 h
I receive a suprise gift from my wife ,At least one hour,35-44 years old,Chinese,Male,24 h
In morning time when i pass time with my son,All day,25-34 years old,Malay,Male,24 h
Having an ice cream ,A few minutes,45-54 years old,Chinese,Female,24 h
I received the certificate for the course I have completed ,Half a day,55-64 years old,Chinese,Male,24 h
"Sales 
I got An offer for the product im selling ",At least one hour,35-44 years old,Chinese,Male,24 h
the couple cook together,Half a day,25-34 years old,Other:,Female,24 h
I can finally go to the beach and enjoy some relaxing time with my wife.,Half a day,25-34 years old,Chinese,Male,24 h
I am blessed by God,All day,45-54 years old,Chinese,Male,24 h
i have food.on my table. physicalfood and spiritual food .,All day,35-44 years old,Chinese,Female,24 h
Completed my morning run,A few minutes,45-54 years old,Chinese,Male,24 h
I watched my favourite variety show,At least one hour,18-24 years old,Chinese,Female,24 h
I cooked for my neighbour ,At least one hour,55-64 years old,Chinese,Male,24 h
Another happy moment in the past 24 hours was when my parents have come over to stay with me,I'm still feeling it,25-34 years old,Malay,Female,24 h
Another is when  job is accomplished.,Half a day,45-54 years old,Chinese,Male,24 h
Another happy moment was when my mum smiled when I wished her happy Mother’s Day ,A few minutes,18-24 years old,Chinese,Female,24 h
I finally managed to get the briyani rice . ,I'm still feeling it,55-64 years old,Malay,Female,24 h
"Relax, carefree, stress-free and do not worry too much. There are a lot of people who are worse off than you",All day,55-64 years old,Chinese,Male,24 h
going to bed,At least one hour,45-54 years old,Chinese,Male,24 h
My second son and daughterc-in-law came visiting with their baby.,I'm still feeling it,65+ years old,Chinese,Male,24 h
I knew I had ample things to entertain me in the near future. ,A few minutes,55-64 years old,Chinese,Male,24 h
Another happy moment in the past 24 hours was when I managed to finish mostly everything I had to do that day before going to bed.,At least one hour,18-24 years old,Chinese,Male,24 h
My sister and i went to market to purchase vegetables,All day,35-44 years old,Chinese,Female,24 h
I found a simple way to have clean and filtered water from the tap.,I'm still feeling it,35-44 years old,Chinese,Female,24 h
Another happy moment in the past 24 hours was when my investment in crypto made money,Half a day,18-24 years old,Chinese,Male,24 h
When my son get hitched in January 2021,I'm still feeling it,45-54 years old,Malay,Female,24 h
I finished my house chores in 1 day,A few minutes,45-54 years old,Chinese,Male,24 h
my colleague requested to move our meeting to the afternoon because she needed more time.  I needed more time too!,I'm still feeling it,55-64 years old,Chinese,Female,24 h
I get to eat my snacks,At least one hour,25-34 years old,Malay,Male,24 h
When I was given surprise of an airtime with my husband,At least one hour,25-34 years old,Chinese,Female,24 h
Enjoying lunch with my wife at home.,At least one hour,55-64 years old,Chinese,Male,24 h
My wife said she love me and thanks me for everything i did to her.,A few minutes,55-64 years old,Chinese,Male,24 h
always feeling Happy,All day,55-64 years old,Chinese,Male,24 h
My children do well.,All day,45-54 years old,Chinese,Female,24 h
I'm happy have 3 children. ,I'm still feeling it,45-54 years old,Chinese,Male,24 h
Praise God,At least one hour,45-54 years old,Chinese,Male,24 h
"Singapore are safe, although there is COVID case increase, I felt proud to be a
Singaporean ",A few minutes,45-54 years old,Chinese,Female,24 h
I managed to cookies baked ,I'm still feeling it,25-34 years old,Malay,Female,24 h
I've a lottery winning. Though it's not a big amount I'm happy because it's been a long time since my last winning ,I'm still feeling it,45-54 years old,Chinese,Male,24 h
"One of my night got a stroke who need help as nobody is around with him at that moment, ",All day,65+ years old,Chinese,Male,24 h
Another happy moment in the past 24 hours was when I received a call from my elder brother. He was checking in on me after I had my vaccination yesterday. I felt happy and loved.,At least one hour,45-54 years old,Chinese,Male,24 h
Another happy moment in the past 24hours when i woke up and saw the photo of BTS again as wallpaper on my phone. 🤣,I'm still feeling it,25-34 years old,Chinese,Male,24 h
yet away from singapore to a less crowded country,I'm still feeling it,45-54 years old,Chinese,Male,24 h
Another happy moment in the past 24 hours was when I watched a good movie,Half a day,18-24 years old,Chinese,Female,24 h
with a suitor,I'm still feeling it,45-54 years old,Chinese,Female,24 h
"No happy moment in the past 24 hours, only thing I can think of is ""sleep well"".",A few minutes,55-64 years old,Chinese,Female,24 h
I have successfully bake a beautiful cake,At least one hour,45-54 years old,Chinese,Female,24 h
When I woke up after a good sleep,All day,55-64 years old,Chinese,Male,24 h
Another happy moment in the past 24 hours was when my husband bought a bouquets of flowers and a box of chocolates to me for our 25th marriage anniversary. ,I'm still feeling it,45-54 years old,Chinese,Female,24 h
Another happy moment in the past 24 hours was when I received my exam results and I did better than I expected.,I'm still feeling it,18-24 years old,Malay,Female,24 h
when i wakeup it my happiest day as i look forward,All day,45-54 years old,Chinese,Male,24 h
when u have fulfilled a task,A few minutes,65+ years old,Chinese,Male,24 h
When I am with my friends ,At least one hour,18-24 years old,Chinese,Female,24 h
Eating with my family,At least one hour,18-24 years old,Chinese,Male,24 h
When I ate a nice supper,A few minutes,25-34 years old,Chinese,Female,24 h
My anime has a new episode ,At least one hour,18-24 years old,Chinese,Male,24 h
Sleeping beside my beloved wife and waking up everyday with the same feeling.,I'm still feeling it,25-34 years old,Chinese,Male,24 h
"For the first time, I bake florentine cookies and it turns out good. ",A few minutes,55-64 years old,Malay,Female,24 h
Another happy moment in the past 24 hours was when I had a good and filling meal.,At least one hour,45-54 years old,Chinese,Male,24 h
Can go home with job done,Half a day,45-54 years old,Chinese,Male,24 h
Another happy moment was when my sister discharged from hospital.and nothing alarming for her health,I'm still feeling it,45-54 years old,Chinese,Female,24 h
"I stepped into my apartment, relieved to be away from the human and road traffic outside",A few minutes,55-64 years old,Chinese,Male,24 h
Spending time with family.,All day,45-54 years old,Chinese,Male,24 h
share joke with friends,A few minutes,55-64 years old,Chinese,Male,24 h
Cooked miso noodles for daughter and she likes it,Half a day,45-54 years old,Chinese,Female,24 h
To achieve the end result of the discussion with client in order to achieve a win win situation ,All day,45-54 years old,Chinese,Male,24 h
Not happy recently quite stress at work,Other:,35-44 years old,Chinese,Female,24 h
Playing with my grand niece,At least one hour,45-54 years old,Chinese,Female,24 h
I was invited to lunch by another member of my church whom I have never had a meal with.,At least one hour,45-54 years old,Chinese,Female,24 h
I have past my test,Half a day,45-54 years old,Chinese,Male,24 h
Brought my parents to Night Safari,Half a day,45-54 years old,Chinese,Female,24 h
"A moment (Sunday) to be close to GOD, praying for HIS Blessing to protect Singapore from this Covid-19 virus, and keeping all Singapore Citizen safe.",I'm still feeling it,55-64 years old,Chinese,Male,24 h
Happy to be able to say i love you to my spouse.,A few minutes,55-64 years old,Chinese,Female,24 h
I ate my favourite chicken rice,All day,55-64 years old,Chinese,Female,24 h
I bought a kitchen appliance at 50 % discount during a Special Promotion Hour where there are limited stocks available ,I'm still feeling it,45-54 years old,Chinese,Female,24 h
Visit my mother in law ,I'm still feeling it,55-64 years old,Chinese,Male,24 h
strike ibet toto $6.,A few minutes,55-64 years old,Chinese,Female,24 h
Customers having confidence & trust me,All day,45-54 years old,Chinese,Female,24 h
That I was able to change my mum's mattress this morning despite the fact that it was my mistake that I ordered wrongly. ,At least one hour,45-54 years old,Chinese,Male,24 h
Another happy moment in the past 24hour was when my parcel is delivered ,A few minutes,18-24 years old,Chinese,Female,24 h
i managed to complete a task assigned.,A few minutes,25-34 years old,Chinese,Male,24 h
No other happy moments.,Other:,45-54 years old,Malay,Male,24 h
another happy moment in the past 24 hours was when my friend surprised me with a dinner treat for my brithday,All day,18-24 years old,Chinese,Male,24 h
Watching movies,At least one hour,45-54 years old,Chinese,Female,24 h
I ate a delicious plate of char kway teow,Half a day,45-54 years old,Chinese,Male,24 h
I managed to win a first place in an online racing video game.,Half a day,25-34 years old,Malay,Male,24 h
Helping my spouse whip up delicious meal for the family. ,Half a day,55-64 years old,Chinese,Male,24 h
it was time for me to sleep. i like lying down in the dark and listening or watching videos on the internet until i fall asleep. i cant sleep otherwise.,A few minutes,18-24 years old,Chinese,Female,24 h
I saw my pet rabbit jumping towards me,At least one hour,45-54 years old,Chinese,Male,24 h
Cannot think of any,Other:,55-64 years old,Chinese,Male,24 h
watch drama which caused me to laugh happily,Other:,45-54 years old,Chinese,Male,24 h
people admire my improved singing talent and achievement,I'm still feeling it,65+ years old,Chinese,Female,24 h
enjoying dinner with my family,At least one hour,18-24 years old,Chinese,Female,24 h
none I can think of,Other:,55-64 years old,Chinese,Male,24 h
I was cooking curry chicken with my mother.,I'm still feeling it,25-34 years old,Malay,Female,24 h
I have manage to walk for 2 hours along changi coastal area to see the beautiful sunset.,I'm still feeling it,55-64 years old,Chinese,Female,24 h
My family members are healthy ,All day,55-64 years old,Chinese,Male,24 h
Making some money on the stock market overseas.,Half a day,55-64 years old,Other:,Male,24 h
My son agreed to our point of view,At least one hour,45-54 years old,Other:,Male,24 h
when I helped others at work,A few minutes,18-24 years old,Chinese,Female,24 h
when celebrate my anniversary,All day,25-34 years old,Other:,Female,24 h
cannot recall,Other:,18-24 years old,Chinese,Male,24 h
I could exit a group chat in which I don't feel like being in the group. It takes courage and I am prepared to face negative comments of others in the chat group.,At least one hour,55-64 years old,Chinese,Female,24 h
Having a great outing with immediate family.,All day,45-54 years old,Malay,Male,24 h
Finished cleaning up my car,I'm still feeling it,55-64 years old,Chinese,Female,24 h
My only grandchild visited me at home with her parents.,Half a day,55-64 years old,Chinese,Male,24 h
When I surrender my insurance policy and received a sum on the endowment. ,I'm still feeling it,55-64 years old,Chinese,Female,24 h
A long lost girl that I lost contact with connected with me again. ,A few minutes,45-54 years old,Chinese,Male,24 h
My dog coming to lie down with me ,At least one hour,45-54 years old,Indian,Female,24 h
When i got the chance to teach others,A few minutes,45-54 years old,Chinese,Female,24 h
"Personal time to myself,relaxing and catching up with my stuff",All day,45-54 years old,Chinese,Female,24 h
Cant remember,A few minutes,65+ years old,Chinese,Female,24 h
I resolved a nagging problem with my laptop.,All day,65+ years old,Indian,Male,24 h
received gift for mother day,All day,45-54 years old,Chinese,Female,24 h
Received the toys I ordered online and enable to send it to my grandson for his birthday.,Half a day,55-64 years old,Chinese,Male,24 h
cannot recall any,Other:,45-54 years old,Chinese,Female,24 h
Celebrating dad's birthday and mother's day with my parents.,At least one hour,45-54 years old,Chinese,Male,24 h
"Second moment:
When learning that my son co-own a Company (with his former ACS classmates) in Spore about 8 months now...Shockingly the value of the company shot to $6M within less than a year. It handles development, design and upgrading/building activities in Spore.
Amiin...Thank ALLAH for kind believe in our family.
We still be kind always! Nothing changes.",I'm still feeling it,55-64 years old,Other:,Male,24 h
Having my lust released.,I'm still feeling it,55-64 years old,Chinese,Male,24 h
"No more happy moments in the past 34 hours, everything as usual.",A few minutes,45-54 years old,Chinese,Female,24 h
Completed my 2nd covid 19 vacinnation,Half a day,65+ years old,Chinese,Male,24 h
"Second moment: Today onwards, to encourage us (employee) not to dine out - due to covid, my company started providing lunch (free lunch ~ yay!)",At least one hour,45-54 years old,Chinese,Female,24 h
I watched an interesting suspense movie.,At least one hour,55-64 years old,Chinese,Male,24 h
WE WENT OUT FOR A FAMILY MEAL TOGETHER.,All day,55-64 years old,Chinese,Male,24 h
My overseas married Daughter realised she loved herself more than me when she became a Mother to 2 kids,I'm still feeling it,65+ years old,Chinese,Female,24 h
I received a long distance call from my mother and knowing that she is safe and well.,All day,55-64 years old,Chinese,Male,24 h
Met up with a friend who shared her children who came to celebrate mother day.,A few minutes,45-54 years old,Chinese,Female,24 h
having breakfast with the other,A few minutes,55-64 years old,Chinese,Male,24 h
When all my chores are done and able to relax and cab go anywhere l want,All day,65+ years old,Chinese,Female,24 h
Another happy moment in the past 24 hours was when I purchase a pack of cocktail nuts from the supermarket at a discounted price,I'm still feeling it,25-34 years old,Chinese,Female,24 h
FYP proposed project ,I'm still feeling it,18-24 years old,Chinese,Female,24 h
When there is interested buyer from my Carousell listing,A few minutes,45-54 years old,Chinese,Female,24 h
Happy and contented,I'm still feeling it,45-54 years old,Chinese,Male,24 h
Another happy moment in the past 24 hours was when my son wishes me happy mothers day.,I'm still feeling it,25-34 years old,Malay,Female,24 h
Sons doing all the household chores as a present for Mother's Day.,All day,55-64 years old,Chinese,Female,24 h
No happy moment,Other:,45-54 years old,Chinese,Female,24 h
Son having dinner with us,At least one hour,45-54 years old,Chinese,Female,24 h
My girl remarked that she liked to be with me.,At least one hour,45-54 years old,Chinese,Male,24 h
Another moment was when I planned out the whole day and it went according to plan as other dates has not been successful ,All day,18-24 years old,Indian,Female,24 h
happy for working,All day,55-64 years old,Chinese,Male,24 h
I get a paid increase. ,I'm still feeling it,55-64 years old,Chinese,Male,24 h
I am happy and did not upset on anything...,I'm still feeling it,45-54 years old,Chinese,Male,24 h
I spent the whole evening watching movies together. The whole entire family in front of TV chilling away our evening.,All day,45-54 years old,Chinese,Female,24 h
What my wife have done for the many years with me taking care of my family when i am not around to assist.,I'm still feeling it,65+ years old,Chinese,Male,24 h
I was anticipating having dinner with dinner with my friends.,At least one hour,18-24 years old,Chinese,Male,24 h
A friend's son has finally graduate after he suffering long period of illness ,Half a day,65+ years old,Chinese,Female,24 h
Another happy moment in the past 24 hours was when watching cartoons on TV because all the characters are very animated and lively. It brings out the energy in everyone.,A few minutes,55-64 years old,Other:,Male,24 h
My grandson kept clinging to me and refused to let his daddy carry him. ,A few minutes,55-64 years old,Chinese,Female,24 h
My daughter told me that she will be working from home for the next few months and she is cooking for me,All day,65+ years old,Chinese,Female,24 h
Dinner with my sis ,I'm still feeling it,55-64 years old,Chinese,Female,24 h
Compliments fm customer ,A few minutes,55-64 years old,Chinese,Male,24 h
Celebrated mother's day and ate pasta with family.,At least one hour,18-24 years old,Chinese,Female,24 h
I saw a funny youtube video about a cat last night.,A few minutes,55-64 years old,Chinese,Female,24 h
my daugther paid for mothers day dinner,At least one hour,55-64 years old,Chinese,Male,24 h
I was able to win a bet,Half a day,45-54 years old,Chinese,Male,24 h
Another happy moment in the past 24 hours was when I wore my favourite shoe today without caring about what others think. I feel good about myself.,At least one hour,18-24 years old,Chinese,Male,24 h
I can watch my movies online,At least one hour,55-64 years old,Chinese,Male,24 h
I ate my favourite foods,At least one hour,45-54 years old,Other:,Female,24 h
The other happy moment was when I played online games with my friends. ,At least one hour,18-24 years old,Chinese,Female,24 h
When my last daughter hugged me,A few minutes,45-54 years old,Other:,Female,24 h
Good wine was on sale..buy one get one free.,A few minutes,55-64 years old,Chinese,Male,24 h
WHEN MY FASTING GLUCOSE COUNT REDUCED.,All day,65+ years old,Chinese,Female,24 h
Having dinner ,A few minutes,45-54 years old,Chinese,Female,24 h
when i am able to enjoy my life with all the love one next to me.,I'm still feeling it,45-54 years old,Chinese,Male,24 h
I managed to host a meeting with good results. ,All day,55-64 years old,Chinese,Female,24 h
Going towards plan,I'm still feeling it,45-54 years old,Chinese,Male,24 h
I finally can go to bed!,Half a day,65+ years old,Chinese,Female,24 h
Nil…nothing,A few minutes,45-54 years old,Chinese,Male,24 h
Money to spwnt,At least one hour,45-54 years old,Chinese,Female,24 h
ANother moment happy moment was talking to my mum,A few minutes,45-54 years old,Chinese,Female,24 h
I bought my long wanted perfume,Half a day,18-24 years old,Chinese,Female,24 h
Making cookies,Half a day,55-64 years old,Malay,Female,24 h
I lend a listening ear to a friend as she was very upset with her sister.  It was very late already but I stayed up and chatted with her. ,Half a day,45-54 years old,Chinese,Female,24 h
That my mother is still with me.,I'm still feeling it,45-54 years old,Indian,Male,24 h
: taking care of my plants. ,At least one hour,65+ years old,Chinese,Female,24 h
My wife stay healthy and happy ,I'm still feeling it,55-64 years old,Chinese,Male,24 h
Another happy moment was that I had successfully confirmed to be able to continue staying in the University hostel for the fourth year studies ,At least one hour,18-24 years old,Chinese,Male,24 h
Received a surprise cake from my husband ,At least one hour,55-64 years old,Chinese,Female,24 h
Another happy moment in the past 24 hours was when I bought new clothes online. I think having some new things to wear makes me very happy.,At least one hour,18-24 years old,Chinese,Female,24 h
Spending time on my hobby (static model building),At least one hour,45-54 years old,Chinese,Male,24 h
None in the past 24 hrs,A few minutes,45-54 years old,Chinese,Male,24 h
Eating a sweet and juicy orange,A few minutes,55-64 years old,Chinese,Female,24 h
I really cant think of any.,A few minutes,45-54 years old,Chinese,Male,24 h
When I finish my work,All day,45-54 years old,Chinese,Female,24 h
I met a nice taxi driver who is helpful to carry the wheelchair.,A few minutes,55-64 years old,Chinese,Female,24 h
Things at work went pretty smoothly. ,At least one hour,25-34 years old,Chinese,Male,24 h
I picked up 20 cents on the road while passer by,A few minutes,55-64 years old,Chinese,Female,24 h
i spend time with my friends,At least one hour,25-34 years old,Chinese,Male,24 h
when I win ,A few minutes,45-54 years old,Chinese,Male,24 h
Another happy moment in the past 24 hours was I clear up my garden.,Half a day,65+ years old,Chinese,Female,24 h
I could clocked enough steps for the day.,A few minutes,45-54 years old,Chinese,Male,24 h
3 hours ago I was happy that I am able to clear my basketball game tasks without any delay ,At least one hour,45-54 years old,Chinese,Male,24 h
When I was chatting with my sister who lives overseas ,At least one hour,25-34 years old,Chinese,Female,24 h
"My son did his exams well
",At least one hour,45-54 years old,Chinese,Female,24 h
Getting home safely,At least one hour,18-24 years old,Chinese,Male,24 h
When U got married,All day,45-54 years old,Chinese,Male,24 h
celebration of mothers day,All day,18-24 years old,Chinese,Male,24 h
Moment of blessings came from far away greetings both from my daughter and grandchildren. Wishing me mother's Day ,All day,55-64 years old,Indian,Female,24 h
I enjoy my lunch that I cooked,Half a day,55-64 years old,Chinese,Female,24 h
I helped an elderly cross the road ,At least one hour,55-64 years old,Chinese,Female,24 h
Can watch my korean dramas,I'm still feeling it,55-64 years old,Chinese,Female,24 h
Celebrating mother's day,At least one hour,45-54 years old,Chinese,Female,24 h
My daughter gave me a hug ,All day,45-54 years old,Other:,Male,24 h
my son managed to resolve his dispute with car agent over a long outstanding issue. ,A few minutes,65+ years old,Chinese,Male,24 h
I had arrange to meet my friend after 1 year,At least one hour,55-64 years old,Chinese,Female,24 h
I can't think of anymore within the last 24 hrs,Other:,45-54 years old,Chinese,Male,24 h
I accomplished my fitness goal for the day,All day,25-34 years old,Chinese,Male,24 h
Having a virtual meeting with community folks on planning activities.,At least one hour,55-64 years old,Chinese,Male,24 h
I get to watch k dramas ,At least one hour,45-54 years old,Chinese,Female,24 h
another happy moment was being able to be at home yesterday and have family dinner in the evening. ,At least one hour,18-24 years old,Chinese,Female,24 h
I settled some stressful work in my workplace.,All day,45-54 years old,Chinese,Male,24 h
Another happy moment in the past 24 hours was when the price for a stock dropped and I bought it ,A few minutes,18-24 years old,Chinese,Female,24 h
"My daughter got promotion as a manager of her current job.
I am very happy.",I'm still feeling it,65+ years old,Chinese,Male,24 h
feel relax,I'm still feeling it,45-54 years old,Indian,Male,24 h
I went to my friends’ house for lunch and a good chat.,Half a day,45-54 years old,Chinese,Female,24 h
Watching a game playthrough video of Resident Evil: Village by Jacksepticeye,At least one hour,18-24 years old,Chinese,Prefer not to say,24 h
Finish my job on time and made the rest of time relax and continuous do others thing do not like to delay work done,At least one hour,55-64 years old,Chinese,Male,24 h
Celebrating Mother's Day and daughter's birthday,All day,65+ years old,Chinese,Male,24 h
